key,value,date
CHEMBL1201202,0,2019-10-01
CHEMBL1256,0,2019-10-01
CHEMBL1292,0,2019-10-01
CHEMBL600,0,2019-10-01
CHEMBL461522,0,2019-10-01
CHEMBL235363,0,2019-10-01
CHEMBL792,0,2019-10-01
CHEMBL1410,0,2019-10-01
CHEMBL916,0,2019-10-01
CHEMBL2095209,0,2019-10-01
CHEMBL1200820,0,2019-10-01
CHEMBL16264,0,2019-10-01
CHEMBL429910,0,2019-10-01
CHEMBL231779,0,2019-10-01
CHEMBL960,0,2019-10-01
CHEMBL38827,0,2019-10-01
CHEMBL3989408,0,2019-10-01
CHEMBL1311,0,2019-10-01
CHEMBL372795,0,2019-10-01
CHEMBL1355,0,2019-10-01
CHEMBL464792,0,2019-10-01
CHEMBL231884,0,2019-10-01
CHEMBL58510,0,2019-10-01
CHEMBL1789941,0,2019-10-01
CHEMBL11298,0,2019-10-01
CHEMBL34259,0,2019-10-01
CHEMBL1771,0,2019-10-01
CHEMBL4297088,0,2019-10-01
CHEMBL547,0,2019-10-01
CHEMBL42710,0,2019-10-01
CHEMBL925,0,2019-10-01
CHEMBL460026,0,2019-10-01
CHEMBL389621,0,2019-10-01
CHEMBL1794794,0,2019-10-01
CHEMBL902,0,2019-10-01
CHEMBL1233584,0,2019-10-01
CHEMBL3,0,2019-10-01
CHEMBL1234886,0,2019-10-01
CHEMBL1620,0,2019-10-01
CHEMBL848,0,2019-10-01
CHEMBL59,0,2019-10-01
CHEMBL483,0,2019-10-01
CHEMBL437472,0,2019-10-01
CHEMBL409153,0,2019-10-01
CHEMBL592868,0,2019-10-01
CHEMBL2106041,0,2019-10-01
CHEMBL190461,0,2019-10-01
CHEMBL2103830,0,2019-10-01
CHEMBL993,0,2019-10-01
CHEMBL14060,0,2019-10-01
CHEMBL1200359,0,2019-10-01
CHEMBL1795071,0,2019-10-01
CHEMBL404,0,2019-10-01
CHEMBL460831,0,2019-10-01
CHEMBL3989695,0,2019-10-01
CHEMBL1163,0,2019-10-01
CHEMBL479432,0,2019-10-01
CHEMBL279115,0,2019-10-01
CHEMBL529,0,2019-10-01
CHEMBL184412,0,2019-10-01
CHEMBL1236802,0,2019-10-01
CHEMBL438497,0,2019-10-01
CHEMBL2103979,0,2019-10-01
CHEMBL4297344,0,2019-10-01
CHEMBL21578,0,2019-10-01
CHEMBL112570,0,2019-10-01
CHEMBL3989857,0,2019-10-01
CHEMBL511142,0,2019-10-01
CHEMBL446143,0,2019-10-01
CHEMBL973,0,2019-10-01
CHEMBL964,0,2019-10-01
CHEMBL22,0,2019-10-01
CHEMBL1538,0,2019-10-01
CHEMBL15913,0,2019-10-01
CHEMBL48802,0,2019-10-01
CHEMBL679,0,2019-10-01
CHEMBL54976,0,2019-10-01
CHEMBL1427,0,2019-10-01
CHEMBL14474,0,2019-10-01
CHEMBL1655,0,2019-10-01
CHEMBL1200879,0,2019-10-01
CHEMBL35228,0,2019-10-01
CHEMBL1434513,0,2019-10-01
CHEMBL112,0,2019-10-01
CHEMBL828,0,2019-10-01
CHEMBL129795,0,2019-10-01
CHEMBL3900409,0,2019-10-01
CHEMBL2105008,0,2019-10-01
CHEMBL1319139,0,2019-10-01
CHEMBL386630,0,2019-10-01
CHEMBL1542,0,2019-10-01
CHEMBL408403,0,2019-10-01
CHEMBL174,0,2019-10-01
CHEMBL3989640,0,2019-10-01
CHEMBL3039502,0,2019-10-01
CHEMBL269732,0,2019-10-01
CHEMBL3989803,0,2019-10-01
CHEMBL434,0,2019-10-01
CHEMBL1200839,0,2019-10-01
CHEMBL1231840,0,2019-10-01
CHEMBL1794791,0,2019-10-01
CHEMBL1534,0,2019-10-01
CHEMBL50,0,2019-10-01
CHEMBL4297526,0,2019-10-01
CHEMBL444965,0,2019-10-01
CHEMBL601,0,2019-10-01
CHEMBL1650,0,2019-10-01
CHEMBL23,0,2019-10-01
CHEMBL42336,0,2019-10-01
CHEMBL96783,0,2019-10-01
CHEMBL2028850,0,2019-10-01
CHEMBL1659,0,2019-10-01
CHEMBL1082407,0,2019-10-01
CHEMBL142438,0,2019-10-01
CHEMBL1219,0,2019-10-01
CHEMBL177756,0,2019-10-01
CHEMBL1744447,0,2019-10-01
CHEMBL6466,0,2019-10-01
CHEMBL465,0,2019-10-01
CHEMBL427526,0,2019-10-01
CHEMBL374478,0,2019-10-01
CHEMBL411686,0,2019-10-01
CHEMBL454446,0,2019-10-01
CHEMBL441687,0,2019-10-01
CHEMBL375655,0,2019-10-01
CHEMBL1016,0,2019-10-01
CHEMBL291278,0,2019-10-01
CHEMBL2003538,0,2019-10-01
CHEMBL1225,0,2019-10-01
CHEMBL88,0,2019-10-01
CHEMBL3989873,0,2019-10-01
CHEMBL1737,0,2019-10-01
CHEMBL4297067,0,2019-10-01
CHEMBL161,0,2019-10-01
CHEMBL409,0,2019-10-01
CHEMBL408917,0,2019-10-01
CHEMBL135,0,2019-10-01
CHEMBL44657,0,2019-10-01
CHEMBL1200559,0,2019-10-01
CHEMBL134342,0,2019-10-01
CHEMBL526,0,2019-10-01
CHEMBL787,0,2019-10-01
CHEMBL1231821,0,2019-10-01
CHEMBL852,0,2019-10-01
CHEMBL65567,0,2019-10-01
CHEMBL85,0,2019-10-01
CHEMBL1643,0,2019-10-01
CHEMBL986,0,2019-10-01
CHEMBL1487,0,2019-10-01
CHEMBL674,0,2019-10-01
CHEMBL421,0,2019-10-01
CHEMBL2111101,0,2019-10-01
CHEMBL720,0,2019-10-01
CHEMBL1672002,0,2019-10-01
CHEMBL220492,0,2019-10-01
CHEMBL542581,0,2019-10-01
CHEMBL806,0,2019-10-01
CHEMBL1373,0,2019-10-01
CHEMBL578004,0,2019-10-01
CHEMBL3137335,0,2019-10-01
CHEMBL358850,0,2019-10-01
CHEMBL550495,0,2019-10-01
CHEMBL1460,0,2019-10-01
CHEMBL93268,0,2019-10-01
CHEMBL429844,0,2019-10-01
CHEMBL3219124,0,2019-10-01
CHEMBL1200807,0,2019-10-01
CHEMBL1456,0,2019-10-01
CHEMBL1437,0,2019-10-01
CHEMBL1201101,0,2019-10-01
CHEMBL702,0,2019-10-01
CHEMBL441343,0,2019-10-01
CHEMBL504,0,2019-10-01
CHEMBL1149,0,2019-10-01
CHEMBL2021430,0,2019-10-01
CHEMBL226345,0,2019-10-01
CHEMBL71,0,2019-10-01
CHEMBL1433,0,2019-10-01
CHEMBL501617,0,2019-10-01
CHEMBL4297591,0,2019-10-01
CHEMBL1152,0,2019-10-01
CHEMBL15562,0,2019-10-01
CHEMBL521,0,2019-10-01
CHEMBL863,0,2019-10-01
CHEMBL637,0,2019-10-01
CHEMBL1200633,0,2019-10-01
CHEMBL742,0,2019-10-01
CHEMBL1628,0,2019-10-01
CHEMBL107,0,2019-10-01
CHEMBL2107333,0,2019-10-01
CHEMBL253376,0,2019-10-01
CHEMBL2,0,2019-10-01
CHEMBL367149,0,2019-10-01
CHEMBL1496,0,2019-10-01
CHEMBL90,0,2019-10-01
CHEMBL1234613,0,2019-10-01
CHEMBL4297260,0,2019-10-01
CHEMBL790,0,2019-10-01
CHEMBL1269025,0,2019-10-01
CHEMBL3544909,0,2019-10-01
CHEMBL1089,0,2019-10-01
CHEMBL559,0,2019-10-01
CHEMBL58061,0,2019-10-01
CHEMBL412531,0,2019-10-01
CHEMBL3137333,0,2019-10-01
CHEMBL1293,0,2019-10-01
CHEMBL373742,0,2019-10-01
CHEMBL113,0,2019-10-01
CHEMBL13968,0,2019-10-01
CHEMBL1088977,0,2019-10-01
CHEMBL1241153,0,2019-10-01
CHEMBL1873475,0,2019-10-01
CHEMBL1560,0,2019-10-01
CHEMBL266481,0,2019-10-01
CHEMBL1747,0,2019-10-01
CHEMBL1237044,0,2019-10-01
CHEMBL2311191,0,2019-10-01
CHEMBL3989943,0,2019-10-01
CHEMBL1196,0,2019-10-01
CHEMBL3989810,0,2019-10-01
CHEMBL3833377,0,2019-10-01
CHEMBL1083993,0,2019-10-01
CHEMBL141,0,2019-10-01
CHEMBL1200380,0,2019-10-01
CHEMBL2367892,0,2019-10-01
CHEMBL1353,0,2019-10-01
CHEMBL471,0,2019-10-01
CHEMBL2387742,0,2019-10-01
CHEMBL74,0,2019-10-01
CHEMBL190,0,2019-10-01
CHEMBL1294,0,2019-10-01
CHEMBL497318,0,2019-10-01
CHEMBL219568,0,2019-10-01
CHEMBL1200381,0,2019-10-01
CHEMBL809,0,2019-10-01
CHEMBL1370,0,2019-10-01
CHEMBL384467,0,2019-10-01
CHEMBL1536,0,2019-10-01
